89,my-eg-1,FALSE,Yes
20,codeql-eg-IncompleteHostnameRegExp,FALSE,No
20,codeql-eg-IncompleteUrlSubstringSanitization,FALSE,No
125,mitre-eg-1,FALSE,Yes
125,my-1,FALSE,No
732,codeql-eg-WeakFilePermissions,FALSE,Yes
732,codeql-eg-DoNotCreateWorldWriteable-b,FALSE,No
200,mitre-eg-1,FALSE,Yes
200,mitre-eg-2,FALSE,Yes
190,codeql-eg-ArithmeticUncontrolled,FALSE,Yes
434,my-eg-3,FALSE,Yes
306,my-eg-2,FALSE,No
306,my-eg-1,FALSE,No
798,codeql-eg-HardcodedCredentials-c,FALSE,Yes
502,codeql-eg-UnsafeDeserialization-c,FALSE,No
416,codeql-UseAfterFree,FALSE,Yes
416,my-eg-1,FALSE,No
787,mitre-eg-2,FALSE,No
787,mitre-eg-5,FALSE,Yes
119,codeql-eg-OverflowBuffer,FALSE,No
