89,codeql-eg-SqlInjection-a,FALSE,Yes
20,codeql-eg-IncompleteHostnameRegExp,FALSE,No
20,codeql-eg-IncompleteUrlSubstringSanitization,FALSE,No
125,mitre-eg-1,FALSE,Yes
125,my-1,FALSE,No
125,my-2,FALSE,No
732,codeql-eg-WeakFilePermissions,FALSE,Yes
732,codeql-eg-DoNotCreateWorldWriteable-b,FALSE,Yes
190,codeql-eg-ArithmeticUncontrolled,FALSE,Yes
434,my-eg-3,FALSE,Yes
79,codeql-eg-ExternalAPISinkExample,FALSE,Yes
79,codeql-eq-ReflectedXss,FALSE,Yes
79,codeql-eg-Jinja2WithoutEscaping,FALSE,Yes
306,my-eg-2,FALSE,Yes
306,my-eg-1,FALSE,No
416,codeql-UseAfterFree,FALSE,Yes
416,my-eg-1,FALSE,Yes
787,mitre-eg-2,FALSE,Yes
78,codeql-eg-python-CommandInjection,FALSE,Yes
119,codeql-eg-OverflowBuffer,FALSE,No
